q;i1;i2;s1;s2;s3;v1;v2;rt1;rt2;st1;st2;sl1;sl2;tan1;tan2;y;m
860;38;8;900;1860;1260;8,108108108108109;7,894736842105263;37;38;12;0;1260;0;0;0;0,825;1260,4146323838427
862;38;8;1023;1665;1365;7,894736842105263;7,894736842105263;38;38;13;0;1365;0;0;0;0,8275;1365,436560225337
864;38;8;1023;1665;1365;7,894736842105263;7,894736842105263;38;38;13;0;1365;0;0;0;0,83;1365,436560225337
866;38;8;824;1400;1100;8,333333333333334;7,894736842105263;36;38;11;0;1100;0;0;0;0,8325;1100,4313664953768
868;38;8;1000;1200;1200;8,108108108108109;7,894736842105263;37;38;12;0;1200;0;0;0;0,835;1200,4770074963105
870;38;8;1000;1200;1200;8,108108108108109;7,894736842105263;37;38;12;0;1200;0;0;0;0,8375;1200,4770074963105
872;38;8;1128;1300;1300;8,108108108108109;7,894736842105263;37;38;13;0;1300;0;0;0;0,84;1300,4991524515874
874;38;8;1200;1600;1300;7,894736842105263;7,894736842105263;38;38;13;0;1300;0;0;0;0,8425;1300,5264318728782
876;38;8;1328;1700;1400;7,894736842105263;7,894736842105263;38;38;14;0;1400;0;0;0;0,845;1400,544179952921
878;38;8;1400;2000;1400;7,6923076923076925;7,894736842105263;39;38;14;0;1400;0;0;0;0,8475;1400,5702556378815
880;39;8;900;1860;1260;8,108108108108109;7,894736842105263;37;38;12;0;1260;0;0;0;0,85;1260,4146323838427
882;39;8;1011;2070;1470;8,108108108108109;7,894736842105263;37;38;14;0;1470;0;0;0;0,8525;1470,410842427142
884;39;8;1023;1665;1365;7,894736842105263;7,894736842105263;38;38;13;0;1365;0;0;0;0,855;1365,436560225337
886;39;8;1144;1875;1575;7,894736842105263;7,894736842105263;38;38;15;0;1575;0;0;0;0,8575;1575,4345432292641
888;39;8;1144;1875;1575;7,894736842105263;7,894736842105263;38;38;15;0;1575;0;0;0;0,86;1575,4345432292641
890;39;8;1194;1470;1470;7,6923076923076925;7,894736842105263;39;38;14;0;1470;0;0;0;0,8625;1470,4730670697647
892;39;8;1317;1680;1680;7,6923076923076925;7,894736842105263;39;38;16;0;1680;0;0;0;0,865;1680,4683992796654
894;39;8;1317;1680;1680;7,6923076923076925;7,894736842105263;39;38;16;0;1680;0;0;0;0,8675;1680,4683992796654
896;39;8;1512;2085;1785;7,5;7,894736842105263;40;38;17;0;1785;0;0;0;0,87;1785,5055742890231
898;39;8;1512;2085;1785;7,5;7,894736842105263;40;38;17;0;1785;0;0;0;0,8725;1785,5055742890231
900;40;8;1417;2500;1900;3,3333333333333335;7,894736842105263;90;38;65;0;1900;0;51,34019174590991;0;0,875;1902,893223933092
902;40;8;1011;2070;1470;8,108108108108109;7,894736842105263;37;38;14;0;1470;0;0;0;0,8775;1470,410842427142
904;40;8;1011;2070;1470;8,108108108108109;7,894736842105263;37;38;14;0;1470;0;0;0;0,88;1470,410842427142
906;40;8;1144;1875;1575;7,894736842105263;7,894736842105263;38;38;15;0;1575;0;0;0;0,8825;1575,4345432292641
908;40;8;1144;1875;1575;7,894736842105263;7,894736842105263;38;38;15;0;1575;0;0;0;0,885;1575,4345432292641
910;40;8;1144;1875;1575;7,894736842105263;7,894736842105263;38;38;15;0;1575;0;0;0;0,8875;1575,4345432292641
912;40;8;1317;1680;1680;7,6923076923076925;7,894736842105263;39;38;16;0;1680;0;0;0;0,89;1680,4683992796654
914;40;8;1317;1680;1680;7,6923076923076925;7,894736842105263;39;38;16;0;1680;0;0;0;0,8925;1680,4683992796654
916;40;8;1317;1680;1680;7,6923076923076925;7,894736842105263;39;38;16;0;1680;0;0;0;0,895;1680,4683992796654
918;40;8;1512;2085;1785;7,5;7,894736842105263;40;38;17;0;1785;0;0;0;0,8975;1785,5055742890231
920;40;8;1512;2085;1785;7,5;7,894736842105263;40;38;17;0;1785;0;0;0;0,9;1785,5055742890231
922;40;8;1512;2085;1785;7,5;7,894736842105263;40;38;17;0;1785;0;0;0;0,9025;1785,5055742890231
924;41;8;1520;2610;2010;3,3333333333333335;7,894736842105263;90;38;66;0;2010;0;51,34019174590991;0;0,905;2012,7932386836153
926;41;8;1520;2610;2010;3,3333333333333335;7,894736842105263;90;38;66;0;2010;0;51,34019174590991;0;0,9075;2012,7932386836153
928;41;8;1648;2420;2120;3,2967032967032965;7,894736842105263;91;38;67;0;2120;0;51,34019174590991;0;0,91;2122,7347825861316
930;41;8;1648;2420;2120;3,2967032967032965;7,894736842105263;91;38;67;0;2120;0;51,34019174590991;0;0,9125;2122,7347825861316
932;41;8;1648;2420;2120;3,2967032967032965;7,894736842105263;91;38;67;0;2120;0;51,34019174590991;0;0,915;2122,7347825861316
934;41;8;1816;2230;2230;3,260869565217391;7,894736842105263;92;38;68;0;2230;0;51,34019174590991;0;0,9175;2232,691937553062
936;41;8;1816;2230;2230;3,260869565217391;7,894736842105263;92;38;68;0;2230;0;51,34019174590991;0;0,92;2232,691937553062
938;41;8;1816;2230;2230;3,260869565217391;7,894736842105263;92;38;68;0;2230;0;51,34019174590991;0;0,9225;2232,691937553062
940;41;8;2006;2640;2340;3,225806451612903;7,894736842105263;93;38;69;0;2340;0;51,34019174590991;0;0,925;2342,6586636126694
942;41;8;2006;2640;2340;3,225806451612903;7,894736842105263;93;38;69;0;2340;0;51,34019174590991;0;0,9275;2342,6586636126694
944;41;8;2006;2640;2340;3,225806451612903;7,894736842105263;93;38;69;0;2340;0;51,34019174590991;0;0,93;2342,6586636126694
946;42;8;1520;2610;2010;3,3333333333333335;7,894736842105263;90;38;66;0;2010;0;51,34019174590991;0;0,9325;2012,7932386836153
948;42;8;1520;2610;2010;3,3333333333333335;7,894736842105263;90;38;66;0;2010;0;51,34019174590991;0;0,935;2012,7932386836153
950;42;8;1648;2420;2120;3,2967032967032965;7,894736842105263;91;38;67;0;2120;0;51,34019174590991;0;0,9375;2122,7347825861316
952;42;8;1648;2420;2120;3,2967032967032965;7,894736842105263;91;38;67;0;2120;0;51,34019174590991;0;0,94;2122,7347825861316
954;42;8;1745;2530;2230;3,2967032967032965;7,894736842105263;91;38;68;0;2230;0;51,34019174590991;0;0,9425;2232,6520009175165
956;42;8;1816;2230;2230;3,260869565217391;7,894736842105263;92;38;68;0;2230;0;51,34019174590991;0;0,945;2232,691937553062
958;42;8;1816;2230;2230;3,260869565217391;7,894736842105263;92;38;68;0;2230;0;51,34019174590991;0;0,9475;2232,691937553062
960;42;8;1915;2340;2340;3,260869565217391;7,894736842105263;92;38;69;0;2340;0;51,34019174590991;0;0,95;2342,6159070608323
962;42;8;2006;2640;2340;3,225806451612903;7,894736842105263;93;38;69;0;2340;0;51,34019174590991;0;0,9525;2342,6586636126694
964;42;8;2105;2750;2450;3,225806451612903;7,894736842105263;93;38;70;0;2450;0;51,34019174590991;0;0,955;2452,5879421948357
966;43;8;2055;3170;2570;3,260869565217391;7,894736842105263;92;38;68;0;2570;0;59,03624346792648;0;0,9575;2572,547715936236
968;43;8;2141;3285;2685;3,260869565217391;7,894736842105263;92;38;69;0;2685;0;59,03624346792648;0;0,96;2687,4801861164938
970;43;8;2141;3285;2685;3,260869565217391;7,894736842105263;92;38;69;0;2685;0;59,03624346792648;0;0,9625;2687,4801861164938
972;43;8;2178;2985;2685;3,225806451612903;7,894736842105263;93;38;69;0;2685;0;59,03624346792648;0;0,965;2687,507409655608
974;43;8;1745;2530;2230;3,2967032967032965;7,894736842105263;91;38;68;0;2230;0;51,34019174590991;0;0,9675;2232,6520009175165
976;43;8;1745;2530;2230;3,2967032967032965;7,894736842105263;91;38;68;0;2230;0;51,34019174590991;0;0,97;2232,6520009175165
978;43;8;1816;2230;2230;3,260869565217391;7,894736842105263;92;38;68;0;2230;0;51,34019174590991;0;0,9725;2232,691937553062
980;43;8;1915;2340;2340;3,260869565217391;7,894736842105263;92;38;69;0;2340;0;51,34019174590991;0;0,975;2342,6159070608323
982;43;8;1915;2340;2340;3,260869565217391;7,894736842105263;92;38;69;0;2340;0;51,34019174590991;0;0,9775;2342,6159070608323
984;43;8;1891;2530;2230;3,225806451612903;7,894736842105263;93;38;68;0;2230;0;51,34019174590991;0;0,98;2232,7332160828123
986;43;8;2416;3100;2800;3,1578947368421053;7,894736842105263;95;38;70;0;2800;0;59,03624346792648;0;0,9825;2802,5118582649984
988;43;8;2416;3100;2800;3,1578947368421053;7,894736842105263;95;38;70;0;2800;0;59,03624346792648;0;0,985;2802,5118582649984
990;44;8;2526;3750;3150;3,1578947368421053;7,894736842105263;95;38;70;0;3150;0;61,92751306414704;0;0,9875;3152,305894824841
992;44;8;2526;3750;3150;3,1578947368421053;7,894736842105263;95;38;70;0;3150;0;61,92751306414704;0;0,99;3152,305894824841
994;43;8;2601;3515;2915;3,125;7,894736842105263;96;38;71;0;2915;0;59,03624346792648;0;0,9925;2917,488479571487
996;43;8;2601;3515;2915;3,125;7,894736842105263;96;38;71;0;2915;0;59,03624346792648;0;0,995;2917,488479571487
998;44;8;2634;3570;3270;3,125;7,894736842105263;96;38;71;0;3270;0;61,92751306414704;0;0,9975;3272,2770003873225
1000;44;8;2790;3390;3390;3,0927835051546393;7,894736842105263;97;38;72;0;3390;0;61,92751306414704;0;1;3392,257813850557
